0,0.081,2,0.9707449822971695
1,0.065,2,0.9138360671442896
2,0.079,2,0.85556396517255
3,0.085,2,0.7951942211667342
4,0.07,3,0.7354516773349454
5,0.125,3,0.6728938020829432
6,0.295,3,0.597351310641968
7,0.369,4,0.5130835900204511
8,0.64,4,0.4302186012252819
9,0.792,4,0.3661291697950635
10,0.934,7,0.318487616675601
11,1.093,7,0.2738261778752574
12,1.377,6,0.228986634924976
13,1.536,8,0.18373951415054962
14,1.882,11,0.14271763106990717
15,2.342,11,0.10935097364309138
16,2.564,17,0.0825958259410327
17,3.169,15,0.060605008735850244
18,3.572,15,0.05005885026750628
19,3.717,17,0.04999986474355543
